Publisher,Pollster,Publisher.En,Pollster.En
מעריב-סופהשבוע,פאנלס פוליטיקס,Maariv - Weekend,Panel Politics
ערוץ 10,קמיל פוקס,Channel 10,Camille Fuchs
ערוץ הכנסת,פאנלס פוליטיקס,Knesset Channel,Panel Politics
I24,גיאוקרטוגרפיה,I24,Geocartography
ערוץ 2,מדגם - גבע וצמח,Channel 2,Midgam - Geva Tsemach
וואלה,טלסקר,Walla,Teleseker
רשת ב,רפי סמית,Reshet Bet,Raffi Smit
גלובס,רפי סמית,Globes,Raffi Smit
ערוץ 1,טלסקר,Channel 1,Teleseker
ידיעות אחרונות,מינה צמח,Yediot Achronot,Mina Tsemach
מקור ראשון,מאגר מוחות,Makor Rishon,Magar Mochot
קול ברמה,מאגר מוחות,Kol Barama,Magar Mochot
Times Of Israel,סטיבן מילר,Times Of Israel,Steven Miller
הארץ,קמיל פוקס,Haretz,Camille Fuchs
גלי ישראל,פאנלס פוליטיקס,Galie Israel,Panel Politics
ערוץ 10,פרויקט המדגם,Channel 10,Project Midgam
ישראל היום,הגל החדש,Israel Hayom,Hagal Hachadash
ערוץ 10,מאגר מוחות,Channel 10,Magar Mochot
ערוץ 2,מכון שריד,Channel 2,Machon Sarid
בחדרי חרדים,TRI,Behadarei Hadarim,TRI
ערוץ 1,מאגר מוחות,Channel 1,Magar Mochot
NRG,פאנלס פוליטיקס,NRG,Panel Politics
מעריב-סופהשבוע,גיאוקרטוגרפיה,Maariv - Weekend,Geocartography
ערוץ 1,רפי סמית,Channel 1,Raffi Smit
ידיעות אחרונות,מדגם - גבע וצמח,Yediot Achronot,Midgam - Geva Tsemach
Times Of Israel,שווקים פנורמה,Times Of Israel,Shvakim Panorama
רדיו ללא הפסקה,גיאוקרטוגרפיה,Non-Stop Radio,Geocartography
ידיעות אחרונות,מינה צמח,Yediot Achronot,Mina Tsemach
ערוץ 1,מדגם - מנו גבע,Channel 1,Midgam - Mano Geva
גלובס,רפי סמית,Globes,Raffi Smit
הארץ,קמיל פוקס,Haretz,Camille Fuchs
ישראל היום,הגל החדש,Israel Hayom,Hagal Hachadash
מעריב,מאגר מוחות,Maariv,Magar Mochot
ערוץ 2,פאנלס פוליטיקס,Channel 2,Panel Politics
רדיו ללא הפסקה,גיאוקרטוגרפיה,Non-Stop Radio,Geocartography
וואלה,טלסקר,Walla,Teleseker
מאקו,פאנלס פוליטיקס,Mako,Panel Politics
ערוץ 10,קמיל פוקס,Channel 10,Camille Fuchs
ערוץ 2,מינה צמח,Channel 2,Mina Tsemach
ערוץ הכנסת,פאנלס פוליטיקס,Knesset Channel,Panel Politics
סופהשבוע,פאנלס פוליטיקס,Weekend,Panel Politics
ערוץ 7,גיאוקרטוגרפיה,Channel 7,Geocartography
ערוץ 1,רפי סמית,Channel 1,Raffi Smit
רשת ב,מדגם - מנו גבע,Reshet Bet,Midgam - Mano Geva
מעריב,טלסקר,Maariv,Teleseker
גלובס,גיאוקרטוגרפיה,Globes,Geocartography
רשת ב,שווקים פנורמה,Reshet Bet,Shvakim Panorama
ערוץ 2,מאגר מוחות,Channel 2,Magar Mochot
ערוץ 1,גיאוקרטוגרפיה,Channel 1,Geocartography
רדיו 100fm,גיאוקרטוגרפיה,Radio 100fm,Geocartography
"גל""צ",גיאוקרטוגרפיה,Galatz,Geocartography
רשת ב,מאגר מוחות,Reshet Bet,Magar Mochot
מקור ראשון,מאגר מוחות,Makor Rishon,Magar Mochot
וואלה,גיאוקרטוגרפיה,Walla,Geocartography
מעריב,הגל החדש,Maariv,Hagal Hachadash
ערוץ 1,מרקט ווטש,Channel 1,Market Watch
מעריב,מרקט ווטש,Maariv,Market Watch
הארץ,מינה צמח,Haretz,Mina Tsemach
וואלה,רפי סמית,Walla,Raffi Smit
ידיעות אחרונות,הגל החדש,Yediot Achronot,Hagal Hachadash
וואלה,הגל החדש,Walla,Hagal Hachadash
ידיעות אחרונות,גיאוקרטוגרפיה,Yediot Achronot,Geocartography
לא ידוע,רפי סמית,Unknown,Raffi Smit
וואלה,מרקט ווטש,Walla,Market Watch
הארץ,הגל החדש,Haretz,Hagal Hachadash
הארץ,גיאוקרטוגרפיה,Haretz,Geocartography
הארץ,מרקט ווטש,Haretz,Market Watch
ידיעות אחרונות,קמיל פוקס,Yediot Achronot,Camille Fuchs
